Year,Code,Waste,WstOper,Value
1997,34,4,3,76965
1997,34,5,1,-1
1997,34,5,2,-1
1997,34,5,3,-1
1997,34,6,1,-1
1997,34,6,2,-1
1997,34,6,3,-1
1997,34,7,1,1398102
1997,34,7,2,521492
1997,34,7,3,521492
1997,34,8,1,-1
1997,34,8,2,-1
1997,34,8,3,-1
1997,33,0,1,11070000
1997,33,0,2,6081000
1997,33,0,3,4397000
1997,33,1,1,3846000
1997,33,1,2,3164000
1997,33,1,3,2276000
1997,33,2,1,1571000
1997,33,2,2,636000
1997,33,2,3,102000
1997,33,3,1,1679000
1997,33,3,2,558000
1997,33,3,3,300000
1997,33,4,1,677000
1997,33,4,2,335000
1997,33,4,3,331000
1997,33,5,1,-1
1997,33,5,2,-1
1997,33,5,3,-1
1997,33,6,1,-1
1997,33,6,2,-1
1997,33,6,3,-1
1997,33,7,1,3297000
1997,33,7,2,1388000
1997,33,7,3,1388000
1997,33,8,1,0
1997,33,8,2,0
1997,33,8,3,0
1997,385,0,1,-1
1997,385,0,2,-1
1997,385,0,3,-1
1997,385,1,1,-1
1997,385,1,2,-1
1997,385,1,3,-1
1997,385,2,1,-1
1997,385,2,2,-1
1997,385,2,3,-1
1997,385,3,1,-1
1997,385,3,2,-1
1997,385,3,3,-1
1997,385,4,1,-1
1997,385,4,2,-1
1997,385,4,3,-1
1997,385,5,1,-1
1997,385,5,2,-1
1997,385,5,3,-1
1997,385,6,1,-1
1997,385,6,2,-1
1997,385,6,3,-1
1997,385,7,1,-1
1997,385,7,2,-1
1997,385,7,3,-1
1997,385,8,1,-1
1997,385,8,2,-1
1997,385,8,3,-1
1997,39,0,1,9529000
1997,39,0,2,3031100
1997,39,0,3,283100
1997,39,1,1,3246000
1997,39,1,2,1278000
1997,39,1,3,1178000
1997,39,2,1,1777000
1997,39,2,2,278100
1997,39,2,3,170100
1997,39,3,1,1802000
1997,39,3,2,700000
1997,39,3,3,700000
1997,39,4,1,456000
1997,39,4,2,25000
1997,39,4,3,25000
1997,39,5,1,-1
1997,39,5,2,-1
1997,39,5,3,-1
1997,39,6,1,-1
1997,39,6,2,-1
1997,39,6,3,-1
1997,39,7,1,2248000
1997,39,7,2,750000
1997,39,7,3,750000
1997,39,8,1,0
1997,39,8,2,0
1997,39,8,3,0
1997,357,0,1,-1
1997,357,0,2,-1
1997,357,0,3,-1
1997,357,1,1,-1
1997,357,1,2,-1
1997,357,1,3,-1
1997,357,2,1,-1
1997,357,2,2,-1
1997,357,2,3,-1
1997,357,3,1,-1
1997,357,3,2,-1
1997,357,3,3,-1
1997,357,4,1,-1
1997,357,4,2,-1
1997,357,4,3,-1
1997,357,5,1,-1
1997,357,5,2,-1
1997,357,5,3,-1
1997,357,6,1,-1
1997,357,6,2,-1
1997,357,6,3,-1
1997,357,7,1,-1
1997,357,7,2,-1
1997,357,7,3,-1
1997,357,8,1,-1
1997,357,8,2,-1
1997,357,8,3,-1
1997,371,0,1,-1
1997,371,0,2,-1
1997,371,0,3,-1
1997,371,1,1,-1
1997,371,1,2,-1
1997,371,1,3,-1
1997,371,2,1,-1
1997,371,2,2,-1
1997,371,2,3,-1
1997,371,3,1,-1
1997,371,3,2,-1
1997,371,3,3,-1
1997,371,4,1,-1
1997,371,4,2,-1
1997,371,4,3,-1
1997,371,5,1,-1
1997,371,5,2,-1
1997,371,5,3,-1
1997,371,6,1,-1
1997,371,6,2,-1
1997,371,6,3,-1
1997,371,7,1,-1
1997,371,7,2,-1
1997,371,7,3,-1
1997,371,8,1,-1
1997,371,8,2,-1
1997,371,8,3,-1
1997,370,0,1,-1
1997,370,0,2,-1
1997,370,0,3,-1
1997,370,1,1,-1
1997,370,1,2,-1
1997,370,1,3,-1
1997,370,2,1,-1
1997,370,2,2,-1
1997,370,2,3,-1
1997,370,3,1,-1
1997,370,3,2,-1
1997,370,3,3,-1
1997,370,4,1,-1
1997,370,4,2,-1
1997,370,4,3,-1
1997,370,5,1,-1
1997,370,5,2,-1
1997,370,5,3,-1
1997,370,6,1,-1
1997,370,6,2,-1
1997,370,6,3,-1
1997,370,7,1,-1
1997,370,7,2,-1
1997,370,7,3,-1
1997,370,8,1,-1
1997,370,8,2,-1
1997,370,8,3,-1
1997,352,0,1,76508
1997,352,0,2,33430
1997,352,0,3,29414
1997,352,1,1,28031
1997,352,1,2,12641
1997,352,1,3,12637
1997,352,2,1,9161
1997,352,2,2,580
1997,352,2,3,572
1997,352,3,1,-1
1997,352,3,2,-1
1997,352,3,3,-1
1997,352,4,1,5315
1997,352,4,2,1179
1997,352,4,3,1179
1997,352,5,1,-1
1997,352,5,2,-1
1997,352,5,3,-1
1997,352,6,1,-1
1997,352,6,2,-1
